"BehaviorSpace results (NetLogo 6.2.1)"
"Combined 4.1.nlogo"
"experiment"
"01/18/2022 16:27:47:328 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Technology","Separation-at-home","nmbr-weeks-pickup-pmd","general-regionbin-size","number-of-households","nmbr-weeks-pickup-gen","pmd-regionbin-size","[step]","recycle-ratio"
"4","Basic","true","2","350","26","2","275","0","0"
"2","Basic","true","2","250","26","2","275","0","0"
"3","Basic","true","2","300","26","2","275","0","0"
"4","Basic","true","2","350","26","2","275","1","0"
"4","Basic","true","2","350","26","2","275","2","0"
"4","Basic","true","2","350","26","2","275","3","0"
"2","Basic","true","2","250","26","2","275","1","0"
"4","Basic","true","2","350","26","2","275","4","0"
"3","Basic","true","2","300","26","2","275","1","0"
"4","Basic","true","2","350","26","2","275","5","0"
"2","Basic","true","2","250","26","2","275","2","0"
"1","Basic","true","2","200","26","2","275","0","0"
"4","Basic","true","2","350","26","2","275","6","0"
"3","Basic","true","2","300","26","2","275","2","0"
"2","Basic","true","2","250","26","2","275","3","0"
"4","Basic","true","2","350","26","2","275","7","0"
"3","Basic","true","2","300","26","2","275","3","0"
"2","Basic","true","2","250","26","2","275","4","0"
"1","Basic","true","2","200","26","2","275","1","0"
"4","Basic","true","2","350","26","2","275","8","0"
"3","Basic","true","2","300","26","2","275","4","0"
"4","Basic","true","2","350","26","2","275","9","0"
"2","Basic","true","2","250","26","2","275","5","0"
"4","Basic","true","2","350","26","2","275","10","0.2992598580331784"
"2","Basic","true","2","250","26","2","275","6","0"
"2","Basic","true","2","250","26","2","275","7","0"
"2","Basic","true","2","250","26","2","275","8","0"
"2","Basic","true","2","250","26","2","275","9","0"
"2","Basic","true","2","250","26","2","275","10","0"
"2","Basic","true","2","250","26","2","275","11","0"
"3","Basic","true","2","300","26","2","275","5","0"
"2","Basic","true","2","250","26","2","275","12","0.31043632337502836"
"1","Basic","true","2","200","26","2","275","2","0"
"2","Basic","true","2","250","26","2","275","13","0.31043632337502836"
"4","Basic","true","2","350","26","2","275","11","0.2992598580331784"
"2","Basic","true","2","250","26","2","275","14","0.31043632337502836"
"2","Basic","true","2","250","26","2","275","15","0.31043632337502836"
"2","Basic","true","2","250","26","2","275","16","0.3592006830830344"
"3","Basic","true","2","300","26","2","275","6","0"
"2","Basic","true","2","250","26","2","275","17","0.3592006830830344"
"3","Basic","true","2","300","26","2","275","7","0"
"4","Basic","true","2","350","26","2","275","12","0.2992598580331784"
"1","Basic","true","2","200","26","2","275","3","0"
"4","Basic","true","2","350","26","2","275","13","0.2992598580331784"
"3","Basic","true","2","300","26","2","275","8","0"
"4","Basic","true","2","350","26","2","275","14","0.3247686873471613"
"2","Basic","true","2","250","26","2","275","18","0.30515981722164315"
"4","Basic","true","2","350","26","2","275","15","0.3247686873471613"
"4","Basic","true","2","350","26","2","275","16","0.4223130062523706"
"2","Basic","true","2","250","26","2","275","19","0.30515981722164315"
"3","Basic","true","2","300","26","2","275","9","0"
"4","Basic","true","2","350","26","2","275","17","0.4223130062523706"
"4","Basic","true","2","350","26","2","275","18","0.3389930540545472"
"2","Basic","true","2","250","26","2","275","20","0.4122963935994178"
"3","Basic","true","2","300","26","2","275","10","0"
"3","Basic","true","2","300","26","2","275","11","0"
"1","Basic","true","2","200","26","2","275","4","0"
"4","Basic","true","2","350","26","2","275","19","0.3389930540545472"
"3","Basic","true","2","300","26","2","275","12","0"
"2","Basic","true","2","250","26","2","275","21","0.4122963935994178"
"1","Basic","true","2","200","26","2","275","5","0"
"3","Basic","true","2","300","26","2","275","13","0"
"2","Basic","true","2","250","26","2","275","22","0.3144375737447516"
